Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI
2017-12-01,164500,165500,161500,161500,529049,-0.018237082066869248,,
2017-12-04,160500,160500,157500,160500,412767,-0.006191950464396245,,
2017-12-05,159000,162500,159000,161500,298181,0.006230529595015577,,
2017-12-06,159500,162500,159500,162000,435843,0.003095975232198178,,
2017-12-07,163000,163000,160000,161500,317111,-0.0030864197530864335,,
2017-12-08,159500,161000,157000,158500,562488,-0.018575851393188847,,
2017-12-11,158000,158500,149500,150000,1235495,-0.05362776025236593,,
2017-12-12,149000,151500,148000,150000,594577,0.0,,
2017-12-13,151500,152500,150000,151500,449530,0.010000000000000009,,
2017-12-14,151000,154500,150500,150500,848663,-0.0066006600660065695,,
2017-12-15,151500,154000,150500,154000,414172,0.023255813953488413,,
2017-12-18,154000,155000,152000,154000,304658,0.0,,
2017-12-19,154000,155500,152500,153000,301402,-0.00649350649350644,,
2017-12-20,153500,154000,151000,152500,330799,-0.0032679738562091387,29.545454545454547,
2017-12-21,151500,152500,150000,150000,393766,-0.016393442622950838,26.530612244897966,
2017-12-22,151000,153000,150500,153000,257517,0.020000000000000018,35.84905660377359,
2017-12-26,152000,155000,151500,154000,319229,0.006535947712418277,35.84905660377359,
2017-12-27,151500,157000,150000,156500,445829,0.016233766233766156,40.35087719298246,
2017-12-28,154500,156000,152000,156000,405259,-0.0031948881789137795,40.35087719298246,
2018-01-02,150500,153000,149000,149500,731763,-0.04166666666666663,35.9375,
2018-01-03,149000,151000,149000,150500,450874,0.006688963210702337,51.020408163265316,
2018-01-04,150500,151000,146000,146500,931558,-0.02657807308970095,43.85964912280702,
2018-01-05,146000,149000,145500,149000,463695,0.017064846416382284,45.76271186440678,
2018-01-08,148500,151000,147500,151000,482619,0.01342281879194629,50.81967213114754,
2018-01-09,151000,152500,149500,152500,465845,0.009933774834437026,47.36842105263158,
2018-01-10,152500,158000,152000,155500,793679,0.01967213114754096,52.38095238095238,
2018-01-11,156000,156500,152500,155000,476891,-0.003215434083601254,53.22580645161291,1.0
2018-01-12,153500,156000,153500,154000,424738,-0.006451612903225823,52.38095238095238,0.9683518290176734
2018-01-15,154000,155000,151000,155000,315592,0.006493506493506551,58.33333333333333,1.0
2018-01-16,153500,158000,153000,158000,440542,0.019354838709677358,58.33333333333333,1.0
2018-01-17,157000,159000,156000,157500,363034,-0.0031645569620253333,55.932203389830505,0.8927867560110367
2018-01-18,157500,158000,154000,155000,324686,-0.015873015873015928,47.45762711864407,0.5143870713441074
2018-01-19,155000,162000,154500,162000,637243,0.04516129032258065,58.33333333333334,1.0
2018-01-22,162500,164000,158500,162500,582519,0.0030864197530864335,71.66666666666667,1.0
2018-01-23,163000,167500,161000,161000,727921,-0.009230769230769265,67.21311475409836,0.8398407198634739
2018-01-24,160500,162000,156000,156500,653451,-0.02795031055900621,66.12903225806451,0.7862243641608327
2018-01-25,155500,159000,154000,158500,776214,0.012779552715654896,65.57377049180329,0.7492454281825178
2018-01-26,155000,155500,149000,152500,1058626,-0.03785488958990535,52.17391304347826,0.19777115052581987
2018-01-29,153000,155500,152000,154500,504827,0.013114754098360715,52.857142857142854,0.22303717286214347
2018-01-30,155000,158000,154500,156000,458611,0.009708737864077666,50.74626865671642,0.1358435361117399
2018-01-31,157000,162000,154500,162000,926031,0.03846153846153855,58.97435897435897,0.475720312359752
2018-02-01,161500,162000,158500,160500,478000,-0.0092592592592593,58.22784810126581,0.4448842739612715
2018-02-02,161000,164000,160500,162500,813167,0.012461059190031154,59.25925925925925,0.48748865551665976
2018-02-05,162500,163000,159000,159000,670474,-0.021538461538461506,51.21951219512195,0.15539175228391713
2018-02-06,158000,161000,153500,157500,690538,-0.009433962264150941,50.0,0.10501750291715278
2018-02-07,157500,160500,156000,157500,552642,0.0,53.164556962025316,0.14605647517039916
2018-02-08,158500,163500,156500,161000,883512,0.022222222222222143,48.611111111111114,0.0
2018-02-09,156500,158500,154500,155000,721962,-0.037267080745341574,40.963855421686745,0.0
2018-02-12,155500,156500,153500,154000,554120,-0.006451612903225823,41.463414634146346,0.019851210095112818
2018-02-13,154000,155500,152000,152500,528608,-0.009740259740259716,44.73684210526316,0.1533116499112951
2018-02-14,152000,155000,152000,154500,265716,0.013114754098360715,44.73684210526316,0.20622593068035958
2018-02-19,156500,157000,154500,155000,265257,0.003236245954692629,53.846153846153854,0.7041275797373365
2018-02-20,155000,156000,152500,153500,218792,-0.009677419354838679,48.4375,0.40849847560975633
2018-02-21,152500,161000,152500,160000,537567,0.04234527687296419,55.4054054054054,0.7893539881344761
2018-02-22,159000,159500,156000,157000,339005,-0.018750000000000044,42.64705882352941,0.09200143472022977
2018-02-23,158500,159500,157500,159000,275917,0.01273885350318471,47.82608695652174,0.37507953340403005
2018-02-26,159000,162000,157500,161000,513314,0.012578616352201255,47.82608695652174,0.4751727856477627
2018-02-27,160500,162000,160000,161000,273491,0.0,53.22580645161291,0.8490744444848536
2018-02-28,159000,163000,158000,161500,496851,0.0031055900621117516,56.666666666666664,1.0
2018-03-02,158000,159000,154500,156000,591106,-0.034055727554179516,47.88732394366197,0.44090630740967535
2018-03-05,155500,157000,152500,153000,410894,-0.019230769230769273,38.57142857142857,0.0
2018-03-06,154500,158000,154500,157000,375611,0.02614379084967311,53.03030303030303,0.7990430622009571
2018-03-07,154000,155000,152000,152500,598406,-0.0286624203821656,47.945205479452056,0.51802451333814
2018-03-08,153500,155000,152000,154500,488545,0.013114754098360715,52.7027027027027,0.7809388335704126
2018-03-09,153500,155000,152500,154000,460548,-0.003236245954692518,49.29577464788733,0.592661230541142
2018-03-12,154000,155500,153000,153500,422236,-0.0032467532467532756,47.88732394366197,0.5148257968865826
2018-03-13,152500,155000,152500,153500,378343,0.0,50.0,0.6315789473684211
