Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2018-01-18,50020,50640,49820,49900,296977,0.0056428859330914,52.64187866927593,0.8005202278403759,0
2018-01-19,50380,50380,49040,49320,184399,-0.0116232464929859,41.08695652173913,0.1866003039409515,0
2018-01-22,48640,48680,47960,48240,250418,-0.021897810218978,36.39921722113503,0.0,1
2018-01-23,48660,49160,48300,49160,270654,0.0190713101160862,38.330170777988606,0.0965612969674427,1
2018-01-24,48860,49700,48560,49340,191010,0.0036615134255493,41.45383104125737,0.2527663414835742,1
2018-01-25,49220,50360,49160,50260,223207,0.0186461289014998,40.75546719681908,0.217843223661925,1
2018-01-26,50500,50780,49840,50780,207002,0.0103461997612415,44.083969465648856,0.3842918132183702,1
2018-01-29,51200,51480,50900,51220,236776,0.0086648286727057,54.40860215053764,0.9005962676817003,0
2018-01-30,50440,50640,49780,49800,245691,-0.0277235454900429,55.24017467248909,0.9421807589073524,1
2018-01-31,50020,54140,49600,49900,1293626,0.002008032128514,59.58429561200924,1.0,0
2018-02-01,50620,50960,49720,49820,552189,-0.0016032064128256,59.3103448275862,0.988184176917389,0
2018-02-02,49380,49400,47700,47700,585207,-0.0425531914893616,45.99236641221373,0.4137639316697168,1
2018-02-05,46500,48320,46000,47920,567158,0.0046121593291403,38.74458874458875,0.1011586626498907,0
2018-02-06,46600,47920,46580,47420,388129,-0.0104340567612687,38.24786324786324,0.0797343013278682,0
2018-02-07,48240,48260,45800,45800,468961,-0.0341628005061155,30.8411214953271,0.0,1
2018-02-08,46120,46620,45980,46000,465021,0.0043668122270741,33.91472868217055,0.1069334644241523,0
2018-02-09,44440,45180,44420,44700,349300,-0.0282608695652173,33.20683111954459,0.0823050931888716,1
2018-02-12,45100,46320,45040,45720,315099,0.0228187919463087,33.83458646616542,0.1041452471006308,1
2018-02-13,46200,48060,46200,47540,378465,0.0398075240594926,42.671009771986974,0.4115720911210697,1
2018-02-14,48080,49100,47940,49000,378118,0.0307109802271772,45.08580343213728,0.4955848605649565,0
2018-02-19,49800,49800,47860,48380,307069,-0.0126530612244898,40.71207430340558,0.34341902421798,0
2018-02-20,48040,48160,47220,47400,202452,-0.0202563042579578,35.809806835066865,0.1728648798344094,0
2018-02-21,47280,47580,46840,47280,257604,-0.0025316455696202,39.63815789473684,0.3060565393264645,0
2018-02-22,47260,47260,46760,46760,177399,-0.0109983079526226,37.51987281399046,0.2345954872290288,1
2018-02-23,46760,47800,46760,47220,248466,0.0098374679213002,39.96913580246914,0.602459689432419,1
2018-02-26,47280,47560,47080,47380,191213,0.0033883947479882,48.54545454545455,1.0,0
2018-02-27,48360,48380,47380,47380,196611,0.0,47.49536178107606,0.9406872452407392,0
2018-02-28,47380,48100,47000,47060,303247,-0.0067539046010974,48.30188679245283,0.9862424779113628,0
2018-03-02,46580,46800,46000,46020,265310,-0.0220994475138122,51.097804391217565,1.0,0
2018-03-05,45820,46160,45080,45200,282019,-0.0178183398522381,46.2406015037594,0.728510975132435,1
2018-03-06,45920,47100,45820,47020,308467,0.0402654867256637,60.39426523297491,1.0,1
2018-03-07,48200,48900,47220,48620,428541,0.0340280731603572,62.35093696763203,1.0,1
2018-03-08,49200,49480,48080,49200,389273,0.0119292472233649,57.90476190476191,0.83247981375839,1
2018-03-09,49440,50540,49240,49740,286088,0.0109756097560975,53.86221294363256,0.6801671977944881,0
2018-03-12,50560,50780,49580,49740,173779,0.0,57.58928571428571,0.8205935003685498,1
2018-03-13,50760,51660,50360,51660,401974,0.0386007237635706,71.51515151515152,1.0,1
2018-03-14,51020,52000,51000,51760,254265,0.0019357336430507,72.67206477732793,1.0,0
2018-03-15,52000,52020,51020,51540,177649,-0.0042503863987635,74.94780793319416,1.0,0
2018-03-16,51220,51420,50240,51140,243698,-0.0077609623593325,70.58823529411765,0.8481366464621775,0
2018-03-19,50620,51340,50440,50740,164377,-0.0078216660148611,67.21311475409836,0.730566149022251,1
2018-03-20,50700,51200,50100,51200,163865,0.0090658257784785,68.68884540117418,0.7819724274667705,0
2018-03-21,51780,51780,51060,51060,178104,-0.0027343749999999,69.9203187250996,0.8248701342482546,1
2018-03-22,51060,51780,51040,51780,169082,0.0141010575793183,79.62962962962963,1.0,0
2018-03-23,50340,50720,49600,49720,297099,-0.0397837002703747,70.62043795620438,0.6503649635036498,1
2018-03-26,49420,50280,49040,50280,201155,0.0112630732099758,66.8041237113402,0.5022587605664299,0
2018-03-27,50320,50460,49080,49980,237480,-0.0059665871121717,58.0952380952381,0.1642782124102458,0
2018-03-28,49100,49100,48340,48700,303189,-0.025610244097639,47.252747252747255,0.0,1
2018-03-29,48700,49560,48320,49040,201340,0.0069815195071869,46.06741573033708,0.0,1
2018-03-30,49080,49900,49080,49220,155542,0.0036704730831973,47.136563876651984,0.0318557098027864,0
