stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20210401,667000,670000,673000,660000,250062,166688317460,00,0.00,N,2,7000,
20210331,660000,675000,676000,660000,318665,212227290000,00,0.00,N,5,-10000,
20210330,670000,654000,672000,649000,333388,221653888000,00,0.00,N,2,19000,
20210329,651000,651000,660000,639000,278530,181365397000,00,0.00,N,2,4000,
20210326,647000,640000,649000,628000,316869,202414012000,00,0.00,N,2,12000,
20210325,635000,636000,647000,631000,311449,198344464580,00,0.00,N,3,0,
20210324,635000,620000,642000,619000,359788,227544309000,00,0.00,N,2,11000,
20210323,624000,650000,651000,624000,391488,248299067000,00,0.00,N,5,-18000,
20210322,642000,661000,662000,639000,386142,249380439000,00,0.00,N,5,-19000,
20210319,661000,645000,661000,642000,323839,211073296716,00,0.00,N,5,-1000,
20210318,662000,655000,669000,653000,533133,352353543680,00,0.00,N,2,23000,
20210317,639000,680000,680000,631000,863521,558798682378,00,0.00,N,5,-41000,
20210316,680000,695000,702000,667000,499953,338635527000,00,0.00,N,5,-6000,
20210315,686000,689000,703000,681000,279236,192492626000,00,0.00,N,5,-3000,
20210312,689000,704000,710000,683000,410178,284358628000,00,0.00,N,2,2000,
20210311,687000,649000,690000,643000,709286,480181069000,00,0.00,N,2,51000,
20210310,636000,666000,667000,636000,458534,297523394000,00,0.00,N,3,0,
20210309,636000,639000,649000,613000,678006,426225809000,00,0.00,N,5,-14000,
20210308,650000,673000,675000,650000,366129,241362323000,00,0.00,N,5,-21000,
20210305,671000,658000,682000,654000,430233,286291837000,00,0.00,N,5,-7000,
20210304,678000,681000,691000,672000,370526,252091842000,00,0.00,N,5,-18000,
20210303,696000,687000,696000,678000,309191,212912982000,00,0.00,N,2,12000,
20210302,684000,696000,709000,675000,579401,401846868832,00,0.00,N,2,10000,
20210226,674000,683000,686000,668000,579115,391065766000,00,0.00,N,5,-30000,
20210225,704000,704000,709000,692000,445534,311999803000,00,0.00,N,2,17000,
20210224,687000,702000,719000,687000,556519,391209092000,00,0.00,N,5,-23000,
20210223,710000,723000,726000,703000,610943,434333705000,00,0.00,N,5,-29000,
20210222,739000,773000,773000,735000,504042,376389665192,00,0.00,N,5,-31000,
20210219,770000,788000,788000,762000,420868,324852539000,00,0.00,N,5,-19000,
20210218,789000,801000,804000,789000,252259,200714712000,00,0.00,N,5,-16000,
20210217,805000,817000,818000,800000,319814,257716854000,00,0.00,N,2,2000,
20210216,803000,806000,807000,800000,218198,175206715000,00,0.00,N,5,-2000,
20210215,805000,806000,813000,794000,425235,341580122000,00,0.00,N,2,22000,
20210210,783000,775000,783000,762000,296151,229847954000,00,0.00,N,2,11000,
20210209,772000,778000,784000,771000,214890,166659590000,00,0.00,N,2,2000,
20210208,770000,773000,782000,766000,327449,253853416000,00,0.00,N,5,-5000,
20210205,775000,751000,778000,749000,462993,353542174000,00,0.00,N,2,28000,
20210204,747000,758000,765000,742000,365398,274407341240,00,0.00,N,5,-11000,
20210203,758000,758000,763000,747000,346901,261704726000,00,0.00,N,2,6000,
20210202,752000,764000,764000,741000,396348,297433618000,00,0.00,N,2,7000,
20210201,745000,730000,747000,719000,438114,322721394360,00,0.00,N,2,11000,
20210129,734000,768000,770000,727000,764317,570612131000,00,0.00,N,5,-33000,
20210128,767000,765000,773000,743000,751481,572491556000,00,0.00,N,5,-22000,
20210127,789000,797000,813000,786000,474277,377135207500,00,0.00,N,5,-1000,
20210126,790000,795000,816000,783000,472724,375782100000,00,0.00,N,3,0,
20210125,790000,797000,797000,780000,386549,304916639000,00,0.00,N,5,-2000,
20210122,792000,751000,809000,745000,973969,755619053000,00,0.00,N,2,47000,
20210121,745000,755000,756000,738000,377379,280585137000,00,0.00,N,2,1000,
20210120,744000,753000,753000,724000,419120,308990071000,00,0.00,N,2,12000,
20210119,732000,706000,735000,705000,430480,310855845000,00,0.00,N,2,26000,
20210118,706000,715000,729000,705000,644139,460147875000,00,0.00,N,5,-31000,
20210115,737000,756000,764000,736000,532859,397088193000,00,0.00,N,5,-12000,
20210114,749000,751000,768000,746000,531618,400925816000,00,0.00,N,5,-5000,
20210113,754000,738000,759000,735000,576057,430930342000,00,0.00,N,2,9000,
20210112,745000,731000,749000,703000,944536,688480420000,00,0.00,N,2,15000,
20210111,730000,750000,773000,717000,1010964,753069457000,00,0.00,N,5,-9000,
20210108,739000,710000,739000,705000,890113,643077420000,00,0.00,N,2,41000,
20210107,698000,688000,712000,676000,756799,526297188000,00,0.00,N,2,18000,
20210106,680000,693000,702000,671000,669150,457568981000,00,0.00,N,5,-6000,
20210105,686000,675000,686000,658000,601692,403850137943,00,0.00,N,2,15000,
20210104,671000,660000,682000,640000,694737,460597285668,00,0.00,N,2,43000,
