stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20181130,41850,43450,44000,41750,19775519,838775278782,00,0.00,N,5,-1300,
20181129,43150,43850,43850,42900,8473511,367283420273,00,0.00,N,3,0,
20181128,43150,42800,43200,42750,6943099,298451186806,00,0.00,N,2,100,
20181127,43050,42900,43100,42500,8367091,358411353235,00,0.00,N,2,450,
20181126,42600,42150,42800,42100,6613009,281292956782,00,0.00,N,2,200,
20181123,42400,42450,42600,41900,5192638,219016162650,00,0.00,N,5,-50,
20181122,42450,42000,42650,42000,5970796,253026136500,00,0.00,N,2,350,
20181121,42100,41800,42300,41800,10769589,452948578450,00,0.00,N,5,-700,
20181120,42800,42450,43000,42100,9420664,402663272818,00,0.00,N,5,-850,
20181119,43650,44050,44250,43450,7538720,329484578450,00,0.00,N,5,-350,
20181116,44000,44600,44750,43700,7777124,343558543950,00,0.00,N,5,-250,
20181115,44250,44050,44350,43500,5864067,258043393106,00,0.00,N,2,150,
20181114,44100,44500,44500,43800,6783344,298839918986,00,0.00,N,5,-400,
20181113,44500,43900,44500,43400,9311126,410326698042,00,0.00,N,5,-700,
20181112,45200,43850,45250,43700,8552566,383762517836,00,0.00,N,2,900,
20181109,44300,44450,44850,43900,7318500,324257144750,00,0.00,N,2,250,
20181108,44050,44900,45050,44050,12617397,562057316672,00,0.00,N,2,50,
20181107,44000,43600,44500,43400,11553998,508909458050,00,0.00,N,2,250,
20181106,43750,43750,43800,42950,7713625,335005850955,00,0.00,N,5,-50,
20181105,43800,43750,43800,42900,9426777,409145234602,00,0.00,N,5,-350,
20181102,44150,43050,44250,42800,16517112,716242611700,00,0.00,N,2,2000,
20181101,42150,42450,42950,42150,13423132,570459206662,00,0.00,N,5,-250,
20181031,42400,42900,43350,41700,17621480,747032941791,00,0.00,N,2,50,
20181030,42350,41400,43000,41000,14205190,604196474977,00,0.00,N,2,950,
20181029,41400,40850,41950,40550,14460521,597885768395,00,0.00,N,2,400,
20181026,41000,41100,41300,40400,14413864,589371007778,00,0.00,N,3,0,
20181025,41000,40600,41550,40550,19338170,793655503846,00,0.00,N,5,-1550,
20181024,42550,43050,43100,42250,13522825,575195361250,00,0.00,N,5,-500,
20181023,43050,43300,43450,42550,9531231,410359339378,00,0.00,N,5,-500,
20181022,43550,43450,43950,43200,8357648,364048308122,00,0.00,N,5,-350,
20181019,43900,43900,44150,43450,7842520,343941369439,00,0.00,N,5,-150,
20181018,44050,43950,44450,43700,8347725,368459881850,00,0.00,N,5,-100,
20181017,44150,44150,44500,44000,8306193,367501442800,00,0.00,N,2,550,
20181016,43600,43700,44150,43350,6825677,298409521650,00,0.00,N,5,-200,
20181015,43800,44050,44050,43350,7434522,324349864008,00,0.00,N,5,-200,
20181012,44000,43200,44650,43200,12640906,555819477084,00,0.00,N,2,900,
20181011,43100,44000,44650,43100,19324537,844343711668,00,0.00,N,5,-2200,
20181010,45300,45250,45500,44500,10341349,467913195347,00,0.00,N,2,350,
20181008,44950,44200,45200,44200,6759464,303659853438,00,0.00,N,2,250,
20181005,44700,44800,45500,44550,10544165,472928025851,00,0.00,N,3,0,
20181004,44700,45150,45600,44700,11865327,533018469730,00,0.00,N,5,-1000,
20181002,45700,46450,46700,45700,6607188,304304412500,00,0.00,N,5,-650,
20181001,46350,46450,46800,45800,6354983,293932571121,00,0.00,N,5,-100,
20180928,46450,47250,47250,46300,11270515,526127504500,00,0.00,N,5,-1050,
20180927,47500,46950,47500,46450,15804586,742801242496,05,0.00,N,2,100,
20180921,47400,46550,47550,46550,14476906,682177094783,00,0.00,N,2,150,
20180920,47250,46850,47600,46400,13536966,638838502250,00,0.00,N,2,1100,
20180919,46150,46000,46200,45700,9367454,430987483700,00,0.00,N,2,650,
20180918,45500,44950,45900,44700,9987090,454869947826,00,0.00,N,2,350,
20180917,45150,45550,45800,44900,8123384,367361318550,00,0.00,N,5,-700,
20180914,45850,45000,45850,44900,12446344,567635309851,00,0.00,N,2,1800,
20180913,44050,44550,44750,44000,18277942,807794526518,00,0.00,N,5,-500,
20180912,44550,44900,45100,44500,12995269,580625526020,00,0.00,N,5,-500,
20180911,45050,45550,45900,45050,9865790,447167292954,00,0.00,N,5,-450,
20180910,45500,45450,45550,45000,9979838,452309806832,00,0.00,N,2,600,
20180907,44900,44500,45200,44400,18285508,819215923241,00,0.00,N,5,-1200,
20180906,46100,46200,46400,45800,9040553,416318421951,00,0.00,N,5,-500,
20180905,46600,47300,47450,46400,9139998,429157782662,00,0.00,N,5,-1050,
20180904,47650,47550,47800,47200,6791255,323146318571,00,0.00,N,2,200,
20180903,47450,48200,48300,47300,8595084,409459975273,00,0.00,N,5,-1000,
20180831,48450,47100,48450,47000,13577454,652318032746,00,0.00,N,2,800,
20180830,47650,46950,47950,46700,12193231,580258547207,00,0.00,N,2,850,
20180829,46800,46750,46800,46400,5572374,259964187606,00,0.00,N,2,250,
20180828,46550,46800,46950,46300,7365976,343322898494,00,0.00,N,2,250,
20180827,46300,46100,46550,46000,5263782,243696166492,00,0.00,N,2,150,
20180824,46150,45900,46400,45550,6582535,302213248900,00,0.00,N,5,-50,
