stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,company_id
20170331.0,50500.0,50800.0,50800.0,49900.0,2682196.0,135004692700.0,0.0,0.0,N,5.0,-400.0,,000660
20170330.0,50900.0,51100.0,51500.0,50200.0,2204243.0,111737846700.0,0.0,0.0,N,5.0,-400.0,,000660
20170329.0,51300.0,51000.0,52200.0,50800.0,4154277.0,213972694700.0,0.0,0.0,N,2.0,500.0,,000660
20170328.0,50800.0,51200.0,51300.0,50000.0,2862493.0,144900640600.0,0.0,0.0,N,2.0,100.0,,000660
20170327.0,50700.0,50000.0,51100.0,49950.0,5607032.0,283731732750.0,0.0,0.0,N,2.0,1200.0,,000660
20170324.0,49500.0,50000.0,50200.0,49300.0,5174622.0,257342312200.0,0.0,0.0,N,2.0,1050.0,,000660
20170323.0,48450.0,48950.0,49300.0,48150.0,2473925.0,120261459150.0,0.0,0.0,N,5.0,-200.0,,000660
20170322.0,48650.0,47000.0,48800.0,47000.0,4157526.0,200269780660.0,0.0,0.0,N,2.0,1100.0,,000660
20170321.0,47550.0,47900.0,48250.0,47000.0,3720816.0,177516360850.0,0.0,0.0,N,5.0,-50.0,,000660
20170320.0,47600.0,46950.0,47650.0,46550.0,3929405.0,184851310550.0,0.0,0.0,N,2.0,850.0,,000660
20170317.0,46750.0,48400.0,48400.0,46600.0,8098258.0,381153216850.0,0.0,0.0,N,5.0,-2400.0,,000660
20170316.0,49150.0,49350.0,49650.0,48500.0,3458839.0,169451585692.0,0.0,0.0,N,2.0,350.0,,000660
20170315.0,48800.0,49350.0,49500.0,48550.0,4688787.0,229711965700.0,0.0,0.0,N,5.0,-1500.0,,000660
20170314.0,50300.0,51800.0,51900.0,50300.0,4024138.0,204683057400.0,0.0,0.0,N,5.0,-700.0,,000660
20170313.0,51000.0,49550.0,51100.0,49300.0,4948062.0,249891224300.0,0.0,0.0,N,2.0,1800.0,,000660
20170310.0,49200.0,48100.0,49550.0,47500.0,3849912.0,188167881225.0,0.0,0.0,N,2.0,1200.0,,000660
20170309.0,48000.0,48200.0,48850.0,48000.0,2957372.0,142837452701.0,0.0,0.0,N,3.0,0.0,,000660
20170308.0,48000.0,48800.0,49300.0,47900.0,3728263.0,179925820180.0,0.0,0.0,N,5.0,-800.0,,000660
20170307.0,48800.0,49100.0,49300.0,48050.0,3439908.0,167476335900.0,0.0,0.0,N,5.0,-550.0,,000660
20170306.0,49350.0,47600.0,49400.0,47550.0,5045970.0,246487961130.0,0.0,0.0,N,2.0,2250.0,,000660
20170303.0,47100.0,47650.0,48250.0,46700.0,3937032.0,186640393450.0,0.0,0.0,N,5.0,-600.0,,000660
20170302.0,47700.0,46850.0,47850.0,46800.0,7093071.0,335246658975.0,0.0,0.0,N,2.0,1000.0,,000660
20170228.0,46700.0,46600.0,47600.0,46200.0,5588155.0,262884029905.0,0.0,0.0,N,2.0,700.0,,000660
20170227.0,46000.0,46850.0,47000.0,45650.0,7604699.0,351359685600.0,0.0,0.0,N,5.0,-1500.0,,000660
20170224.0,47500.0,49850.0,50000.0,47400.0,7707747.0,371299047500.0,0.0,0.0,N,5.0,-2700.0,,000660
20170223.0,50200.0,50000.0,50400.0,49050.0,3374139.0,168173904308.0,0.0,0.0,N,5.0,-400.0,,000660
20170222.0,50600.0,51600.0,51700.0,50600.0,2678429.0,136898075004.0,0.0,0.0,N,5.0,-300.0,,000660
20170221.0,50900.0,49950.0,51000.0,49350.0,2227708.0,112329649650.0,0.0,0.0,N,2.0,1000.0,,000660
20170220.0,49900.0,50900.0,51000.0,49600.0,2265276.0,113363337450.0,0.0,0.0,N,5.0,-500.0,,000660
20170217.0,50400.0,50400.0,51100.0,50200.0,4927937.0,249569939100.0,0.0,0.0,N,2.0,800.0,,000660
20170216.0,49600.0,48350.0,49600.0,48200.0,4840918.0,237306104600.0,0.0,0.0,N,2.0,1700.0,,000660
20170215.0,47900.0,48300.0,48700.0,47550.0,8725221.0,418959476450.0,0.0,0.0,N,5.0,-550.0,,000660
20170214.0,48450.0,51100.0,51600.0,48100.0,8593878.0,422149431150.0,0.0,0.0,N,5.0,-2250.0,,000660
20170213.0,50700.0,49550.0,51000.0,49500.0,4124290.0,208281404650.0,0.0,0.0,N,2.0,700.0,,000660
20170210.0,50000.0,52000.0,52200.0,50000.0,9120878.0,465448709400.0,0.0,0.0,N,5.0,-2700.0,,000660
20170209.0,52700.0,53100.0,53700.0,52500.0,6547266.0,347819994300.0,0.0,0.0,N,5.0,-1900.0,,000660
20170208.0,54600.0,53700.0,54600.0,52400.0,3552260.0,190289394500.0,0.0,0.0,N,2.0,1300.0,,000660
20170207.0,53300.0,53800.0,54500.0,53100.0,2405891.0,129380654500.0,0.0,0.0,N,5.0,-400.0,,000660
20170206.0,53700.0,54200.0,54400.0,53300.0,1897002.0,102085693100.0,0.0,0.0,N,3.0,0.0,,000660
20170203.0,53700.0,52500.0,53700.0,51800.0,3718619.0,196279515060.0,0.0,0.0,N,2.0,900.0,,000660
20170202.0,52800.0,53500.0,54000.0,52700.0,3486140.0,185564141500.0,0.0,0.0,N,5.0,-1200.0,,000660
20170201.0,54000.0,54300.0,54900.0,53700.0,2813046.0,152598833428.0,0.0,0.0,N,2.0,300.0,,000660
20170131.0,53700.0,53300.0,54500.0,52700.0,4118790.0,221428745900.0,0.0,0.0,N,2.0,400.0,,000660
20170126.0,53300.0,52500.0,53500.0,52400.0,4517114.0,239592036100.0,0.0,0.0,N,2.0,1600.0,,000660
20170125.0,51700.0,52200.0,52500.0,51600.0,2715809.0,141446130200.0,0.0,0.0,N,2.0,100.0,,000660
20170124.0,51600.0,51300.0,52000.0,51100.0,3449130.0,177616900100.0,0.0,0.0,N,2.0,800.0,,000660
20170123.0,50800.0,49950.0,51000.0,49900.0,4148659.0,209753459500.0,0.0,0.0,N,2.0,1650.0,,000660
20170120.0,49150.0,49700.0,50100.0,49150.0,1943195.0,96154281550.0,0.0,0.0,N,5.0,-450.0,,000660
20170119.0,49600.0,49550.0,50100.0,49100.0,2332268.0,115610934220.0,0.0,0.0,N,2.0,750.0,,000660
20170118.0,48850.0,48950.0,49400.0,48300.0,2974091.0,144988002700.0,0.0,0.0,N,5.0,-450.0,,000660
20170117.0,49300.0,49300.0,50200.0,49250.0,2309955.0,114604813700.0,0.0,0.0,N,3.0,0.0,,000660
20170116.0,49300.0,50100.0,50300.0,48800.0,4974924.0,245390500600.0,0.0,0.0,N,5.0,-1000.0,,000660
20170113.0,50300.0,49850.0,50700.0,49850.0,4219771.0,211612764000.0,0.0,0.0,N,5.0,-300.0,,000660
20170112.0,50600.0,51600.0,51600.0,50400.0,5060622.0,256710131000.0,0.0,0.0,N,5.0,-1000.0,,000660
20170111.0,51600.0,50000.0,51900.0,50000.0,4360058.0,223583642686.0,0.0,0.0,N,2.0,1850.0,,000660
20170110.0,49750.0,49850.0,50200.0,49200.0,2561968.0,127213145450.0,0.0,0.0,N,2.0,200.0,,000660
20170109.0,49550.0,48500.0,49750.0,48200.0,3871999.0,191236382800.0,0.0,0.0,N,2.0,1550.0,,000660
20170106.0,48000.0,47700.0,48450.0,47600.0,3166843.0,152264047279.0,0.0,0.0,N,2.0,1050.0,,000660
20170105.0,46950.0,47000.0,47500.0,46850.0,2377163.0,112240246450.0,0.0,0.0,N,2.0,450.0,,000660
20170104.0,46500.0,47000.0,47150.0,46200.0,2722599.0,127044173975.0,0.0,0.0,N,5.0,-750.0,,000660
20170103.0,47250.0,46200.0,47300.0,46200.0,2655477.0,124284065200.0,0.0,0.0,N,2.0,1450.0,,000660
20170102.0,45800.0,44750.0,46000.0,44600.0,1547681.0,70741238750.0,0.0,0.0,N,2.0,1100.0,,000660
20161229.0,44700.0,45150.0,45200.0,44600.0,1808856.0,81023763700.0,0.0,0.0,N,5.0,-650.0,,000660
20161228.0,45350.0,45350.0,45750.0,45100.0,1296254.0,58862600300.0,2.0,0.0,N,5.0,-300.0,,000660
