stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,company_id
20240801,334000,320000,337500,318500,457374,150295220000,0,0.0,N,2,14500,,030200
20240731,319500,330000,331500,312000,808998,258022147000,0,0.0,N,5,-11000,,030200
20240730,330500,333000,344500,330500,423808,141982847000,0,0.0,N,5,-5000,,030200
20240729,335500,337500,341000,331500,279493,93994878000,0,0.0,N,5,-3500,,030200
20240726,339000,341500,346500,337000,179285,61228767500,0,0.0,N,5,-4500,,030200
20240725,343500,328500,348000,328500,400368,136383552000,0,0.0,N,2,10000,,030200
20240724,333500,331500,340500,330000,231832,77613608000,0,0.0,N,5,-2000,,030200
20240723,335500,344500,346000,334000,390417,131878969500,0,0.0,N,5,-7000,,030200
20240722,342500,356000,357000,342000,398483,137833158500,0,0.0,N,5,-15000,,030200
20240719,357500,354500,358500,352000,267075,94887048000,0,0.0,N,2,2500,,030200
20240718,355000,351000,359000,350500,290914,103281416000,0,0.0,N,5,-1000,,030200
20240717,356000,357000,361500,356000,371761,133038265500,0,0.0,N,5,-4000,,030200
20240716,360000,376000,377000,359500,582218,212205746500,0,0.0,N,5,-17500,,030200
20240715,377500,380000,383000,375000,227369,85924027000,0,0.0,N,5,-2500,,030200
20240712,380000,386000,389500,378000,436667,166315050000,0,0.0,N,5,-9500,,030200
20240711,389500,375500,389500,369000,625762,238890096000,0,0.0,N,2,16500,,030200
20240710,373000,377500,381000,370500,345711,129364934000,0,0.0,N,5,-9500,,030200
20240709,382500,385000,387500,382000,271592,104431360000,0,0.0,N,2,1000,,030200
20240708,381500,382000,386000,374000,293821,112088363500,0,0.0,N,5,-500,,030200
20240705,382000,387500,390000,378500,536501,205473518000,0,0.0,N,2,7500,,030200
20240704,374500,371500,376000,368500,464023,173034631736,0,0.0,N,2,8000,,030200
20240703,366500,357000,368000,353500,636916,230061623500,0,0.0,N,2,15000,,030200
20240702,351500,365000,369500,351500,516425,183869397500,0,0.0,N,5,-15500,,030200
20240701,367000,352500,368500,352000,455716,165061027000,0,0.0,N,2,13000,,030200
20240628,354000,359000,362500,351000,545864,193774768000,0,0.0,N,5,-7000,,030200
20240627,361000,372500,374000,361000,448702,163863093500,0,0.0,N,5,-8000,,030200
20240626,369000,372000,379000,369000,310007,115353893000,0,0.0,N,2,500,,030200
20240625,368500,378000,381500,368000,395918,147472478000,0,0.0,N,5,-9000,,030200
20240624,377500,384500,385000,377500,296362,112642059000,0,0.0,N,5,-11500,,030200
20240621,389000,391000,400000,389000,326437,128190186000,0,0.0,N,5,-3000,,030200
20240620,392000,390000,395000,388500,215377,84340409000,0,0.0,N,5,-500,,030200
20240619,392500,378000,395500,376000,337842,130738351000,0,0.0,N,2,17500,,030200
20240618,375000,383500,386500,375000,258029,97762091000,0,0.0,N,5,-6000,,030200
20240617,381000,380500,384500,377000,225594,85836192000,0,0.0,N,5,-2500,,030200
20240614,383500,391500,392500,383000,322311,124218244000,0,0.0,N,5,-8000,,030200
20240613,391500,400000,402000,391500,390293,154134236000,0,0.0,N,5,-2000,,030200
20240612,393500,391000,401000,391000,191642,75831478500,0,0.0,N,2,1000,,030200
20240611,392500,393000,401500,388500,336622,132831505000,0,0.0,N,5,-500,,030200
20240610,393000,395500,401500,387000,327819,128809684000,0,0.0,N,5,-6000,,030200
20240607,399000,396500,402000,393500,305543,121732397500,0,0.0,N,2,7500,,030200
20240605,391500,380500,399500,379000,429783,168284371160,0,0.0,N,2,13500,,030200
20240604,378000,375000,384000,374000,220476,83473570500,0,0.0,N,2,1000,,030200
20240603,377000,375000,385000,375000,255766,97053541000,0,0.0,N,2,2500,,030200
